id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5359732,Rehabilitation Administration,,5/10/2024,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359733,Business Administration,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359734,tDPT Masters,,5/1/2029,Doctorate,College of Health,Male,Asian/Asian American,23-May,5/1/2023,submitted,Working,Achieva Health,Healthcare,Organization,Full-Time,Healthcare Services,Physiotherapist,Yes,,,,,,,,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5498320,Accounting,,9/19/2024,Bachelors,,,,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5690081,Business Analytics,Cybersecurity Management,5/29/2023,Masters,,,,23-May,5/1/2023,submitted,Working,Windfall Studio,"Advertising, PR & Marketing",Organization,Full-Time,Design / Art,Senior Graphic Designer,Yes,,,,,,,Annual Salary,,,No opinion,None of the above,,
5690560,Education,Gifted Education,5/8/2020,Bachelors,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Cut Bank Public Schools,K-12 Education,Faculty Tenure,Full-Time,Education / Teaching / Training,5th Grade Teacher,Yes,,,,,,46000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project",No,Work with a faculty member on a research project
5690561,Business Administration,,5/1/2026,Bachelors,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Finance (BS),,,,,,,This position meets my expectations,None of the above,,
5690562,Enviro Sci and Sustainability,,5/1/2025,Bachelors,College of Forestry & Conserv,Female,Native American/Alaskan Native,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690563,Business Administration,"Entrepreneurship, Management & Entrepreneurship",12/12/2014,Associates,College of Business,Female,Native American/Alaskan Native,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Master Of Business Adm (Mba),,,,,,,This position meets my expectations,"Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Internship, field experience, student teaching, practicum or clinical placement"
5690564,Cybersecurity,,5/16/2009,Bachelors,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690565,Education Leadership,,5/1/2023,Doctorate,College of Education,Female,,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690566,International Education Leader,,7/30/2021,Masters,College of Education,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690567,English,,5/12/2023,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690568,Welding Technology,,5/1/2025,Associates,Missoula College,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690569,Accounting,,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Enterprise Holdings,Transportation & Logistics,Organization,Full-Time,Accounting,Staff Accountant,,,,,,,60000,Annual Salary,0,0,This position exceeds my expectations,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Neutral,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5690570,Principal Leadership K-12,,5/1/2027,Associates,College of Education,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690571,Curriculum & Instruction~Secondary Certification,Art,5/12/2012,Bachelors,College of Education,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690572,Curriculum & Instruction,,5/3/2019,Bachelors,College of Education,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690573,Physics,Mathematics,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Self-Employed,Other Industries,Temporary/Contract Work Assignment,Full-Time,Construction / Contracting,General Contractor,,,,,,,41600,Hourly Wage,0,0,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5690574,Computer Science,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690575,Superintendent Leadership~no major,Superintendent Leadership,5/19/2001,Bachelors,College of Education,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690576,English,,5/10/2024,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690577,Media Arts,,5/10/2008,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690578,General AA,,5/1/2026,Associates,Missoula College,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Bridgercare,Healthcare,Organization,Full-Time,Healthcare Services,Clinic Systems ,Yes,,,,,,80000,Annual Salary,0,0,No opinion,None of the above,,
5690579,General AA,,5/16/2020,Associates,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690580,Surgical Technology,,5/1/2026,,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690581,English~Theatre,English,5/30/2017,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690582,English,,,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,COLORADO STATE UNIVERSITY,,,,,,,,,,,,
5690583,Anthropology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Working,Self,Hotels & Accommodation,Entrepreneur,Part-Time,Operations / Production,co-owner,Yes,,,,,,45000,Annual Salary,,,No opinion,None of the above,,
5690584,Superintendent Leadership,,5/1/2027,,College of Education,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690585,Journalism,,5/22/2023,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690586,Microbiology,,5/6/2022,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690587,Sociology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690588,Physics,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690589,Welding Technology,,5/1/2026,Associates,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690590,Music~Secondary Certification,Music,8/3/2001,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690591,Political Science~Global Leadership,Political Science,12/16/2022,Bachelors,College Humanities & Sciences,Female,Latino(a),23-May,12/1/2022,submitted,Working,University of Montana spectrUM Discovery Area,Non-Profit - Other,Organization,Full-Time,General Management,Science Education Program Coordinator,,,,,,,32240,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5690592,Sociology~Forensic Studies,Sociology,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690593,Health & Human Performance~Pre-Prof-Phys Therapy,Health & Human Performance,5/10/2024,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690594,tDPT Bachelors,,5/1/2029,Doctorate,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690595,"Communication Studies~Women's, Gender & Sexuality St",Communication Studies,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690596,Welding Technology,,5/1/2026,Associates,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690597,Sustainable Construction Tech~Welding Technology,Sustainable Construction Tech,5/10/2024,Associates,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690598,General AA,,5/1/2026,,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690599,Management & Entrepreneurship,,5/1/2025,Bachelors,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690600,Surgical Technology,,5/1/2026,,Missoula College,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690601,Native American Studies,"Environmental Education, Environmental Studies",5/12/2023,Bachelors,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Native American Studies,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5690602,Information Technology,,12/17/2021,Associates,Missoula College,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana Information Technology,Higher Education,Organization,Full-Time,Information Technology,Client Experience Manager,Yes,,,,,,44720,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5690603,Psychology,,5/1/2025,,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690604,Information Technology~Computer Support,Information Technology,5/1/2025,,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690605,History~Native American Studies,History,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690606,Communication Studies,,5/1/2027,Bachelors,College Humanities & Sciences,Male,,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690607,Communication Studies,,5/1/2027,Masters,College Humanities & Sciences,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690608,General AA,,5/1/2026,Bachelors,Missoula College,Male,,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690609,Information Technology~Computer Support,Information Technology,5/1/2025,,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690610,Media Arts,,5/12/2023,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690611,Welding Technology,,5/1/2025,,Missoula College,Male,Black or African American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690612,Anthropology,,5/1/2026,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690613,General AA,,5/1/2026,Bachelors,Missoula College,Male,Latino(a),23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690614,Economics~Pre-Law,Economics,5/12/2023,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690615,Creative Writing,,5/10/2024,,College Humanities & Sciences,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690616,Elementary Education~Elementary Certification,Elementary Education,5/10/2023,Associates,College of Education,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690617,Welding Technology~Welding Technology,Welding Technology,5/1/2026,High School,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690618,Welding Technology,,5/1/2026,,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690619,Communication Studies,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690620,Welding Technology,,5/1/2025,Bachelors,Missoula College,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,FLORIDA GULF COAST UNIVERSITY,,,,,,,,,,,,
5690621,Welding Technology,,5/1/2026,Certificate,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690622,Anthropology,,5/1/2027,Doctorate,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690623,Welding Technology~Welding Technology,Welding Technology,5/1/2026,Associates,Missoula College,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5690624,Enviro Sci Nat Res Journalism,,5/1/2027,Masters,College of the Arts and Media,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5690625,Speech Language Pathology Asst,,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5690626,Speech Language Pathology Asst,,5/12/2023,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690627,Wilderness Management,,5/12/2023,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690628,Undeclared,,5/4/2026,Masters,,,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5690629,Sustainable Construction Tech~Carpentry,Sustainable Construction Tech,5/1/2027,Bachelors,Missoula College,Female,Latino(a),23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
